no_topics,min_df,max_df,alpha,eta,c_v
2.0,0.03,0.31,0.07,0.12,0.3262255086097628
4.0,0.03,0.34,0.44,0.29,0.32569376170025244
2.0,0.01,0.36,0.29,0.17,0.3188570743961471
4.0,0.02,0.29,0.04,0.2,0.31078927910474424
15.0,0.07,0.44,0.34,0.3,0.31418474074689623
11.0,0.01,0.29,0.41000000000000003,0.16,0.2943757657483138
9.0,0.05,0.47000000000000003,0.4,0.07,0.335743843368393
9.0,0.04,0.34,0.18,0.04,0.33313609596432836
15.0,0.02,0.16,0.25,0.24,0.33508108327563807
15.0,0.08,0.41000000000000003,0.01,0.28,0.3245568088584596
9.0,0.1,0.35000000000000003,0.09,0.03,0.33480950839704926
6.0,0.09,0.48,0.37,0.3,0.34238231235338407
14.0,0.04,0.36,0.36,0.06,0.3150860559145978
15.0,0.09,0.48,0.49,0.09,0.32503940870499165
14.0,0.03,0.48,0.31,0.03,0.3628766661615032
14.0,0.06,0.2,0.19,0.08,0.32906878292442393
13.0,0.01,0.48,0.31,0.1,0.3273501173573215
14.0,0.07,0.41000000000000003,0.4,0.09,0.3212700309206512
7.0,0.07,0.21,0.06,0.12,0.3115131516124304
9.0,0.05,0.13,0.22,0.26,0.2954247569551314
13.0,0.1,0.3,0.46,0.2,0.2968360408563744
2.0,0.05,0.37,0.19,0.2,0.33161466137613393
10.0,0.1,0.28,0.2,0.02,0.28853347430812043
11.0,0.06,0.23,0.35000000000000003,0.28,0.32229295574246564
4.0,0.02,0.22,0.33,0.28,0.27695774438622317
8.0,0.07,0.27,0.37,0.22,0.29375128079413493
11.0,0.04,0.47000000000000003,0.06,0.08,0.33849442892842785
11.0,0.07,0.47000000000000003,0.08,0.28,0.3453527647353696
14.0,0.08,0.22,0.28,0.24,0.3130663529079161
3.0,0.04,0.13,0.3,0.02,0.36297587654936886
14.0,0.1,0.19,0.37,0.26,0.2790303580059474
7.0,0.06,0.26,0.2,0.28,0.33412675169260775
9.0,0.08,0.34,0.13,0.16,0.3192619955495164
7.0,0.05,0.13,0.31,0.05,0.31857979236088896
8.0,0.1,0.24,0.04,0.04,0.30899889294183414
6.0,0.07,0.22,0.45,0.17,0.28806138985383845
2.0,0.09,0.26,0.46,0.22,0.3356284287587454
5.0,0.06,0.14,0.33,0.05,0.2876546548933237
15.0,0.01,0.49,0.35000000000000003,0.26,0.335492950120545
15.0,0.03,0.21,0.45,0.14,0.30430742208022915
14.0,0.01,0.12,0.49,0.09,0.30227369399833837
8.0,0.09,0.33,0.32,0.13,0.3308887215444838
9.0,0.02,0.45,0.27,0.28,0.33104201232780445
14.0,0.07,0.4,0.29,0.1,0.319433726304597
15.0,0.06,0.27,0.41000000000000003,0.1,0.3168494053789534
6.0,0.02,0.42,0.47000000000000003,0.15,0.2907655721595021
13.0,0.04,0.32,0.1,0.3,0.33071640557492543
8.0,0.09,0.33,0.01,0.21,0.33386004849513096
12.0,0.07,0.31,0.31,0.18,0.3202911360779935
12.0,0.06,0.13,0.3,0.21,0.29229182440093454
2.0,0.06,0.43,0.11,0.1,0.30871356362840485
13.0,0.01,0.43,0.12,0.17,0.32102456129724327
14.0,0.07,0.39,0.42,0.22,0.32147285063434167
3.0,0.04,0.37,0.25,0.09,0.3201434283268025
6.0,0.06,0.45,0.5,0.29,0.31701643704829036
6.0,0.07,0.14,0.19,0.09,0.3220578636948202
14.0,0.1,0.15,0.28,0.06,0.2594553119508628
7.0,0.05,0.35000000000000003,0.35000000000000003,0.2,0.3310615454194123
8.0,0.09,0.28,0.25,0.21,0.3058607206146602
13.0,0.06,0.18,0.39,0.29,0.30860778877430106
14.0,0.1,0.36,0.35000000000000003,0.18,0.3168145669649589
7.0,0.03,0.34,0.39,0.17,0.32114145885972617
11.0,0.1,0.24,0.42,0.15,0.28605391284455767
9.0,0.01,0.17,0.02,0.27,0.32933363661411413
8.0,0.05,0.24,0.03,0.14,0.3188697830861952
14.0,0.03,0.17,0.35000000000000003,0.04,0.31893907896007384
13.0,0.02,0.14,0.05,0.03,0.3248639180810698
8.0,0.09,0.23,0.19,0.04,0.2900372774308967
7.0,0.06,0.21,0.46,0.01,0.3053719267614045
12.0,0.03,0.44,0.17,0.3,0.33414377426953346
6.0,0.09,0.28,0.05,0.27,0.33311514836024597
8.0,0.07,0.13,0.45,0.08,0.2930384831599504
6.0,0.02,0.11,0.18,0.02,0.2638504215397559
13.0,0.05,0.17,0.25,0.29,0.3226818281696664
15.0,0.07,0.22,0.33,0.29,0.3064875878653657
2.0,0.03,0.16,0.14,0.08,0.2900752982725993
9.0,0.02,0.15,0.36,0.04,0.2972247180411244
5.0,0.09,0.2,0.18,0.25,0.3200100227016062
14.0,0.04,0.36,0.31,0.01,0.3221776085352376
13.0,0.04,0.21,0.37,0.29,0.32063746173604596
3.0,0.03,0.29,0.27,0.21,0.2909460076529364
10.0,0.07,0.3,0.3,0.03,0.3379547245650634
9.0,0.05,0.15,0.48,0.22,0.2802736631774436
2.0,0.07,0.17,0.24,0.06,0.2885124902445914
8.0,0.06,0.33,0.22,0.2,0.34590051623774426
12.0,0.02,0.33,0.09,0.22,0.3060947865526311
4.0,0.07,0.48,0.26,0.16,0.32679017837146906
15.0,0.04,0.39,0.24,0.29,0.33949587509592777
2.0,0.04,0.5,0.12,0.26,0.33297976596571977
13.0,0.04,0.25,0.1,0.17,0.3415098547913958
9.0,0.09,0.28,0.17,0.03,0.30673262581641847
14.0,0.03,0.41000000000000003,0.41000000000000003,0.18,0.3279151326600787
2.0,0.06,0.21,0.04,0.01,0.24681815421144349
14.0,0.07,0.24,0.27,0.01,0.31296475700118515
9.0,0.08,0.24,0.02,0.11,0.3016580803853869
2.0,0.05,0.18,0.42,0.05,0.2428189080686931
4.0,0.05,0.36,0.07,0.15,0.3325872260028136
8.0,0.06,0.17,0.21,0.04,0.30385879362147794
12.0,0.1,0.27,0.13,0.17,0.3001957576346725
14.0,0.02,0.39,0.5,0.14,0.3015614485234323
14.0,0.01,0.2,0.27,0.08,0.30982856034792094
9.0,0.09,0.44,0.14,0.28,0.32579125899130157
8.0,0.09,0.19,0.46,0.22,0.28810791211631115
4.0,0.01,0.25,0.29,0.17,0.2831903660820758
8.0,0.09,0.45,0.12,0.04,0.3608639208997636
6.0,0.06,0.26,0.24,0.12,0.33519691114844125
12.0,0.04,0.39,0.18,0.09,0.32953180698112866
11.0,0.06,0.42,0.4,0.08,0.33231022193300536
5.0,0.03,0.23,0.3,0.13,0.280755666615715
11.0,0.04,0.24,0.28,0.18,0.32497782200308434
4.0,0.03,0.27,0.3,0.2,0.2740284615193047
15.0,0.04,0.11,0.4,0.3,0.2583574322233181
10.0,0.02,0.44,0.14,0.03,0.30716356700547975
9.0,0.08,0.44,0.26,0.08,0.30323555610769115
8.0,0.1,0.3,0.01,0.18,0.3077867451814317
10.0,0.05,0.24,0.42,0.25,0.3036309972671326
12.0,0.1,0.23,0.06,0.22,0.2982165513414284
14.0,0.06,0.14,0.23,0.11,0.2885994965438138
2.0,0.1,0.39,0.38,0.15,0.31193131575584315
13.0,0.07,0.34,0.36,0.16,0.31131394013451674
3.0,0.06,0.11,0.07,0.14,0.25085987929153236
2.0,0.05,0.29,0.3,0.04,0.28242166985662287
2.0,0.06,0.38,0.21,0.05,0.32496646211169566
8.0,0.09,0.25,0.11,0.12,0.30962954103435414
11.0,0.05,0.2,0.09,0.03,0.31724531591846106
6.0,0.04,0.47000000000000003,0.07,0.03,0.31848101737423296
3.0,0.08,0.26,0.13,0.2,0.26369195717895627
15.0,0.05,0.35000000000000003,0.01,0.08,0.33448248564462385
7.0,0.07,0.34,0.47000000000000003,0.2,0.2947657549291048
8.0,0.07,0.35000000000000003,0.02,0.05,0.3116684642067695
8.0,0.03,0.45,0.15,0.16,0.3360611842259882
4.0,0.06,0.18,0.43,0.18,0.3419469500251262
12.0,0.01,0.14,0.4,0.14,0.31495366453994045
15.0,0.07,0.12,0.17,0.28,0.2622748265700806
10.0,0.04,0.16,0.33,0.12,0.29946680431122374
6.0,0.07,0.31,0.45,0.26,0.32532153433466643
3.0,0.01,0.23,0.19,0.17,0.28476710199447597
6.0,0.02,0.15,0.07,0.19,0.329506237217583
10.0,0.02,0.24,0.39,0.09,0.2883699379191592
8.0,0.07,0.46,0.17,0.21,0.3583165362260769
6.0,0.05,0.47000000000000003,0.27,0.29,0.3526744872970213
4.0,0.07,0.19,0.03,0.24,0.2891631900797591
11.0,0.09,0.21,0.34,0.15,0.3026535408867442
2.0,0.05,0.48,0.22,0.03,0.29831934748878763
3.0,0.05,0.12,0.05,0.21,0.3268484511678515
3.0,0.08,0.31,0.45,0.19,0.33203048649940764
13.0,0.07,0.12,0.26,0.17,0.2693954877049281
6.0,0.08,0.47000000000000003,0.16,0.21,0.3292535054337538
6.0,0.02,0.31,0.22,0.22,0.3344773319921823
15.0,0.05,0.44,0.35000000000000003,0.15,0.3090963378674726
4.0,0.06,0.11,0.11,0.27,0.2634482820549775
10.0,0.09,0.31,0.12,0.28,0.32730460792295374
14.0,0.06,0.28,0.46,0.28,0.31300654440730036
11.0,0.03,0.2,0.05,0.13,0.30791442545109365
4.0,0.04,0.45,0.38,0.06,0.30649487758071237
9.0,0.04,0.25,0.22,0.26,0.354596480865116
11.0,0.07,0.22,0.12,0.15,0.3232171497227623
8.0,0.02,0.17,0.01,0.26,0.29825611111150807
7.0,0.03,0.45,0.04,0.12,0.3513436498482631
14.0,0.05,0.42,0.02,0.01,0.3273512250012196
10.0,0.02,0.24,0.5,0.27,0.28060432634129695
11.0,0.06,0.28,0.21,0.21,0.333530534396483
3.0,0.05,0.13,0.49,0.08,0.3670918468629238
3.0,0.04,0.4,0.45,0.04,0.30268399603982393
5.0,0.06,0.2,0.13,0.3,0.28477866266556695
15.0,0.09,0.21,0.46,0.01,0.2919080504244364
2.0,0.01,0.24,0.15,0.09,0.2696261456305553
3.0,0.04,0.44,0.29,0.08,0.2882525646233581
5.0,0.08,0.43,0.42,0.24,0.31745437422409106
13.0,0.07,0.38,0.43,0.1,0.31934303694746063
5.0,0.09,0.43,0.23,0.3,0.3411154562533364
11.0,0.08,0.39,0.47000000000000003,0.12,0.29603172275906725
7.0,0.01,0.5,0.25,0.2,0.34326447214439154
12.0,0.1,0.41000000000000003,0.06,0.08,0.31399767882031115
4.0,0.05,0.32,0.48,0.06,0.31673367561941385
15.0,0.06,0.44,0.01,0.11,0.3371364630105657
5.0,0.05,0.33,0.32,0.29,0.35200757609617633
8.0,0.07,0.12,0.04,0.14,0.2932254630196828
11.0,0.06,0.46,0.5,0.03,0.3219911801633719
